Date,TEL
2015-08-03,50.491886138916016
2015-08-04,50.54158020019531
2015-08-05,51.84197235107422
2015-08-06,51.04683303833008
2015-08-07,51.27874755859375
2015-08-10,53.059547424316406
2015-08-11,51.99935531616211
2015-08-12,51.83369445800781
2015-08-13,51.22904968261719
2015-08-14,51.79227828979492
2015-08-17,51.80056381225586
2015-08-18,51.65147399902344
2015-08-19,51.66804122924805
2015-08-20,50.417335510253906
2015-08-21,48.677947998046875
2015-08-24,46.58241653442383
2015-08-25,45.99433517456055
2015-08-26,47.3941535949707
2015-08-27,48.38569641113281
2015-08-28,49.36058044433594
2015-08-31,49.40223693847656
2015-09-01,48.252384185791016
2015-09-02,49.193939208984375
2015-09-03,49.27725601196289
2015-09-04,48.519020080566406
2015-09-08,50.227134704589844
2015-09-09,49.668880462646484
2015-09-10,50.185482025146484
2015-09-11,50.62710189819336
2015-09-14,50.60209274291992
2015-09-15,51.37700271606445
2015-09-16,52.29356002807617
2015-09-17,51.96026611328125
2015-09-18,51.11870574951172
2015-09-21,51.11870574951172
2015-09-22,49.27725601196289
2015-09-23,49.00229263305664
2015-09-24,48.66065979003906
2015-09-25,48.67734146118164
2015-09-28,47.3691520690918
2015-09-29,47.99409103393555
2015-09-30,49.902198791503906
2015-10-01,49.55222702026367
2015-10-02,49.98550033569336
2015-10-05,51.493648529052734
2015-10-06,51.56031799316406
2015-10-07,51.55198287963867
2015-10-08,51.576969146728516
2015-10-09,51.493648529052734
2015-10-12,51.61864471435547
2015-10-13,51.293678283691406
2015-10-14,51.54365158081055
2015-10-15,52.61017990112305
2015-10-16,52.793487548828125
2015-10-19,52.810150146484375
2015-10-20,53.235107421875
2015-10-21,50.977054595947266
2015-10-22,52.82682418823242
2015-10-23,53.21010208129883
2015-10-26,53.18510437011719
2015-10-27,52.02692794799805
2015-10-28,52.68516159057617
2015-10-29,53.36009216308594
2015-10-30,53.69337844848633
2015-11-02,54.63493728637695
2015-11-03,54.809898376464844
2015-11-04,55.22651672363281
2015-11-05,55.568145751953125
2015-11-06,55.45151138305664
2015-11-09,54.95155715942383
2015-11-10,54.57661056518555
2015-11-11,55.134864807128906
2015-11-12,54.19331741333008
2015-11-13,54.018341064453125
2015-11-16,54.64325714111328
2015-11-17,54.25164031982422
2015-11-18,55.5848274230957
2015-11-19,55.90144348144531
2015-11-20,56.33473205566406
