Date,TEL.OL
2015-08-24,83.35277557373047
2015-08-25,86.31045532226562
2015-08-26,87.76240539550781
2015-08-27,88.83792877197266
2015-08-28,88.35394287109375
2015-08-31,88.7841567993164
2015-09-01,86.41800689697266
2015-09-02,87.86994171142578
2015-09-03,89.75212860107422
2015-09-04,88.03128051757812
2015-09-07,87.92374420166016
2015-09-08,90.12857818603516
2015-09-09,90.18233489990234
2015-09-10,88.3001708984375
2015-09-11,86.84821319580078
2015-09-14,87.22463989257812
2015-09-15,86.63311767578125
2015-09-16,87.11708068847656
2015-09-17,87.17086791992188
2015-09-18,86.95575714111328
2015-09-21,87.38597869873047
2015-09-22,86.25667572021484
2015-09-23,85.61136627197266
2015-09-24,85.39627838134766
2015-09-25,87.22463989257812
2015-09-28,86.25667572021484
2015-09-29,85.28872680664062
2015-09-30,85.45003509521484
2015-10-01,84.42829132080078
2015-10-02,83.51409912109375
2015-10-05,86.41800689697266
2015-10-06,88.999267578125
2015-10-07,88.35394287109375
2015-10-08,87.11708068847656
2015-10-09,88.03128051757812
2015-10-12,88.35394287109375
2015-10-13,88.0850601196289
2015-10-14,86.52555847167969
2015-10-15,87.43975067138672
2015-10-16,88.5152816772461
2015-10-19,89.4294662475586
2015-10-20,89.96721649169922
2015-10-21,89.69835662841797
2015-10-22,90.2361068725586
2015-10-23,92.33338165283203
2015-10-26,92.76358795166016
2015-10-27,91.68804931640625
2015-10-28,89.64456939697266
2015-10-29,88.67659759521484
2015-10-30,86.20288848876953
2015-11-02,87.90716552734375
2015-11-03,86.25787353515625
2015-11-04,86.86261749267578
2015-11-05,86.47779846191406
2015-11-06,85.5431900024414
2015-11-09,85.1033706665039
2015-11-10,85.65314483642578
2015-11-11,85.92800903320312
2015-11-12,80.81522369384766
2015-11-13,81.14508819580078
2015-11-16,82.18962097167969
2015-11-17,83.4540786743164
2015-11-18,84.44365692138672
2015-11-19,84.66355895996094
2015-11-20,84.88346099853516
2015-11-23,85.37825775146484
2015-11-24,83.39910888671875
2015-11-25,84.22376251220703
2015-11-26,84.44365692138672
2015-11-27,84.5536117553711
2015-11-30,83.28916931152344
2015-12-01,83.28916931152344
2015-12-02,82.73938751220703
2015-12-03,81.5299301147461
